0F9D RC1STA
0F9E TXSTA
0F9E TXSTA1
0F9E TX1STA
0F9F BAUDCON
0F9F BAUDCON1
0F9F BAUDCTL1
0F9F BAUDCTL
0F9F BAUD1CON
0FA0 PWM4DC
0FA1 PWM4DCL
0FA2 PWM4DCH
0FA2 PWM4CON
0FA3 PWM3DC
0FA3 PWM3DCL
0FA4 PWM3DCH
0FA5 PWM3CON
0FA6 CCPR2
0FA6 CCPR2L
0FA7 CCPR2H
0FA8 CCP2CON
0FA9 CCP2CAP
0FAA CCPR1
0FAA CCPR1L
0FAB CCPR1H
0FAC CCP1CON
0FAD CCP1CAP
0FAE CCPTMRS
0FAF T6TMR
0FAF TMR6
0FB0 PR6
0FB0 T6PR
0FB1 T6CON
0FB2 T6HLT
0FB3 T6CLK
0FB3 T6CLKCON
0FB4 T6RST
0FB5 T4TMR
0FB6 TMR4
0FB6 PR4
0FB6 T4PR
0FB7 T4CON
0FB8 T4HLT
0FB9 T4CLK
0FB9 T4CLKCON
0FBA T4RST
0FBB T2TMR
0FBB TMR2
0FBC PR2
0FBC T2PR
0FBD T2CON
0FBE T2HLT
0FBF T2CLK
0FBF T2CLKCON
0FC0 T2RST
0FC1 TMR5
0FC1 TMR5L
0FC2 TMR5H
0FC3 T5CON
0FC4 PR5
0FC4 T5GCON
0FC5 T5GATE
0FC5 TMR5GATE
0FC6 T5CLK
0FC6 TMR5CLK
0FC7 TMR3
0FC7 TMR3L
0FC8 TMR3H
0FC9 T3CON
0FCA PR3
0FCA T3GCON
0FCB T3GATE
0FCB TMR3GATE
0FCC T3CLK
0FCC TMR3CLK
0FCD TMR1
0FCD TMR1L
0FCE TMR1H
0FCF T1CON
0FD0 PR1
0FD0 T1GCON
0FD1 T1GATE
0FD1 TMR1GATE
0FD2 T1CLK
0FD2 TMR1CLK
0FD3 TMR0
0FD3 TMR0L
0FD4 PR0
0FD4 TMR0H
0FD5 T0CON0
0FD6 T0CON1
0000 PCON1
0000 0xFD6
0FD7 PCON0
0FD8 STATUS
0FD9 FSR2L
0FDA FSR2H
0FDB PLUSW2
0FDC PREINC2
0FDD POSTDEC2
0FDE POSTINC2
0FDF INDF2
0FE0 BSR
0FE1 FSR1L
0FE2 FSR1H
0FE3 PLUSW1
0FE4 PREINC1
0FE5 POSTDEC1
0FE6 POSTINC1
0FE7 INDF1
0FE8 WREG
0FE9 FSR0L
0FEA FSR0H
0FEB PLUSW0
0FEC PREINC0
0FED POSTDEC0
0FEE POSTINC0
0FEF INDF0
0FF2 INTCON
0FF3 PROD
0FF3 PRODL
0FF4 PRODH
0FF5 TABLAT
0FF6 TBLPTR
0FF6 TBLPTRL
0FF7 TBLPTRH
0FF8 TBLPTRU
0FF9 PC
0FF9 PCL
0FFA PCLATH
0FFB PCLATU
0FFC STKPTR
0FFD TOS
0FFD TOSL
0FFE TOSH
0FFF TOSU
